"RANDOM STATE"
"0 0 -1727483681 253 0.0 false 1485756873 -763501382 -1012162376 -1018634513 -1318307905 1865725053 1126977313 892366962 -1762628002 -855394981 -1307975054 -1277726372 -1432126764 -985598640 1834326283 -1734788015 -1801762792 1819389287 -24178659 -1156947650 -1738279463 -1713907164 -1439396486 -2081829468 -166901307 2037242609 -1346599762 1589445869 1653587842 816671859 1030193738 -1056564454 261790625 -318175798 1795252955 -1793704972 2040634613 -1451317504 2046173116 827966182 -1261683351 905142678 627816711 1484278370 743122632 1842947864 -1308794087 1663635552 -1991531793 312818462 -1268421712 1345863601 -1990723537 -254055867 316594706 -466595750 -1783282683 811196581 671670548 1167450613 828411050 1083626757 605379362 1877909132 -1271944075 466639799 -1341456901 490891445 785192544 -1932004833 -2077126923 -141807653 -545069686 -212279156 1115249508 -1694803679 -861949905 -1815633147 -1479038325 -1722156254 -1392529248 -1226728205 -715062966 -836771209 618240683 88658799 745694608 1428563268 1172333903 -1571380487 869947064 1383316197 1241858903 -1091355966 -1771723535 1390836669 1319719738 1262689628 -1379187341 1917757195 2119718778 1775691520 1776481704 -2125807205 -455387216 -812517776 1637977759 -1410608808 -1577482314 -1768306656 2094746543 461363789 1189117402 707955854 -2091332651 -650137538 837682919 -161456817 -2018670022 29893875 60201438 160756350 -343611772 -684201948 -1121007448 -997579813 382185416 1576960942 1492036478 -1880436732 2050376264 -1030143637 1459765534 -1661958219 -1737378531 -637004096 -396667461 42695426 52696753 -1520729287 740654031 -711346326 418364356 226600909 -223567777 -535220578 -1623928972 -1375768443 -1903901778 824449606 2135903149 -649036340 -640174993 1378613258 435956175 -497790657 922276975 -673887334 -933368350 214873198 1911206875 525807650 -1435791308 1273389407 835803442 -1474213963 -887086896 16628885 1699499039 143532623 1869490555 10250040 1380038952 -1992707174 -1405228937 784253018 -233326091 -1322090269 -1404153361 606444910 1640149081 -925154196 -755805719 -898773348 -984360494 -1056799945 -1730073290 917487288 1367371227 -2037563195 40659439 -1995678383 -827508278 1024190397 -1481750080 1114037201 2138526495 59994661 1400851180 -121036247 -467941785 -537459773 1115597030 1368682510 133642287 -1812424255 -1913542197 445805322 1020761279 -24069011 1360813517 -124083452 -1560826303 521934276 376937928 -2021038508 1376419412 2130109732 530568621 -1418043304 736265905 -836784177 -2081866780 1598573199 -636224290 -625718251 1255179330 -815436489 -909367060 509308787 850427234 957628776 -1253932922 667259857 1380860556 963097481 1630891621 -1564020422 -1893609787 1818078790 1158864321 -253453393 -624843487 397141780 1403934048 1073301715 815471481 609195011 1764660540 152445013 714483467 1699061446 -1255668393 -441946828 -643486306 1349487771 1053868956 1653618299 1983549747 -2087645319 -1698740289 866311536 948990805 -1666807161 -331131316 827848358 584718189 -1360630021 944221240 -524757525 -2063517670 1795487200 -1048945984 -1587129011 1542323407 -2042390490 1041835586 -1070097826 -2130755377 -505936203 -1594810516 -1801815451 -1781807845 288585159 -176340889 110511756 -614200840 -888580442 -1715483260 1778652729 597429063 64510 1795126198 1814666951 -1874745116 -546806498 1827313038 -15637347 -61030455 -2048081912 -698046565 -997114668 1211294650 -1407449741 -1249198085 1204574679 -1401249904 -697296681 100016947 668096437 -744073365 254163082 1548503856 145910052 1492466434 -1269115488 -1974190108 -229478825 807543894 -2048651325 -1744680426 -1081780981 873975292 1473799878 1250723688 -809926241 2081524906 471085810 -1906782459 911900774 32750165 1085390466 -368169915 -1508379245 925003156 -1068833147 1315055454 347200734 -1489577061 1170485364 1452165195 -1746539898 -630465391 2057484302 1466958648 2029158567 -1470675475 1620646543 -1693246514 2053702668 -1082302651 -464961108 1305876980 876120057 -1387635591 1624160709 -542584781 2120512663 -1407617907 -704358551 -732352926 -330209073 -1421438681 -1909672387 -1958675305 -33632295 -1310851576 -279180290 75977009 -856809932 1589373983 490986669 -681128972 -2138839797 1336242443 -610479763 1091086776 -902531284 317404169 -1859770688 1417996060 -2133707882 -1087586839 341542866 951038073 -1095371068 -1181477366 -163775599 -972253629 543874427 1486142025 -445629425 -1142301884 1711355150 1400407477 517998781 1255151769 1354366306 -1089485696 579906302 -1397712801 1600413486 -70043137 1587876783 898713544 -151677359 -1588582718 186483370 -1127623830 -1222108957 1671116280 -322332593 -877225346 -1019585303 510804642 177023051 -757369304 1009061199 24336859 658764930 -1693892432 1971548916 -726686563 433254926 1739235394 -619615820 368506903 1324652287 -1325007032 325156751 -1272508553 420838472 -1849283428 -420783617 211500621 -1447297500 -1540600044 -423211539 2052491367 -682024197 -638425802 -1856316689 1342676716 2075233457 -543040198 -1592566082 679279476 -1797393739 -965383353 354759958 1238000977 181383096 1966588094 663377246 -173070426 1391179125 549632364 307037689 1848157173 301167725 61262892 -1044817648 -1502505604 1961268590 1782847805 -1500597253 2049049673 35924004 -150243983 1380774729 521694846 -2007863541 -1691979981 1612125050 -1178810958 664550980 429631256 -743063190 1952708194 1335482889 -694840266 2125139654 601187230 1739455971 -131875154 -242580236 710404209 1995944564 960207019 -1021470045 -1271547275 -1161795370 1038623038 -77811137 106526068 -967198481 1236727311 -1133687273 -909730778 727858207 -681704001 381569443 -571783413 -327433362 423020841 741451905 -1804881366 1975116834 -1549829454 1658108993 -2135977330 994035185 -1726163999 -1054050569 1976238836 -1346738453 1691453247 -1565815001 -370991335 1195792904 1505808383 -373434881 27690906 -562773418 927827926 -797348887 -1450440963 1936134062 -216338848 -1654679849 -628621001 -709848108 979113647 1050788680 518945866 1437210092 -1163874189 115311715 -1975337922 -1240637508 -137476911 831966445 -1910488809 1441208079 -1509577722 987370909 67605235 -181004074 2082613908 -808178029 549011736 1178893526 -1690223821 1736790594 409570987 -1276316770 261156371 2068142283 -1416140988 1533845730 -1522115412 207231089 1457432830 -556327334 2097509924 -1313306690 1966914840 1890130366 -64171398 -1400500668 -346807070 -2029078612 -1996527936 134205239 1478667261 442041197 -663560631 -888792540 -1382467665 1533258886 459505476 -1400263146 1016607424 -301235544 794437020 -1842791655 -1279135717 1429466683 -72962751 -1911567608 1780710642 -289624133 -1809673866 584807014 -2095383048 -130008377 876295939 820008687 608760156 -219612273 1045557629 -1895067450 1548831631 -1346275721 1075144255 -1192807484 2093958967 -938446872 848237079 -706775098 -354553475 -1058339634 1248343260 866379425 121273530 1292290756 1014471897 -1044973549 1465987849 1598357030 -1458697070 1616658111 121754164 -6306654"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","airports-dataset","growth","states-dataset"
"-32","32","-16","16","0","nobody","459","""UNDIRECTED""","75","{{gis:VectorDataset }}","0.1","{{gis:VectorDataset }}"

"TURTLES"
"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","abbrev","name","population","infected-population","destination","infected"
"0","10","87","-29.86475162377628","0.7602772901875545","""circle""","""SFO""","9.9","{breed airports}","false","1.1192908469204954","1","""up""","""SFO""","""San Francisco Int'l""","626406","0",,
"1","10","151","21.56606165896809","2.517998508050184","""circle""","""BWI""","9.9","{breed airports}","false","2.12367605815953","1","""up""","""BWI""","""Baltimore-Washington Int'l Thurgood Marshall""","2255000","0",,
"2","10","5","-29.773420525851577","11.815504595254806","""circle""","""SEA""","9.9","{breed airports}","false","2.479516081819192","1","""up""","""SEA""","""Tacoma Int'l""","3074000","0",,
"3","10","303","-25.385982454114956","-3.3718110424416876","""circle""","""LAX""","9.9","{breed airports}","false","5","1","""up""","""LAX""","""Los Angeles Int'l""","12500000","0",,
"4","10","22","27.925029228008288","6.103680206251357","""circle""","""BOS""","9.9","{breed airports}","false","2.9889797590482274","1","""up""","""BOS""","""Gen E L Logan Int'l""","4467000","0",,
"5","10","107","12.83943576613292","-3.713422704996579","""circle""","""ATL""","9.9","{breed airports}","false","3.001999333777408","1","""up""","""ATL""","""Hartsfield-Jackson Atlanta Int'l""","4506000","0",,
"6","10","118","17.65474450709573","-12.228614908405863","""circle""","""FLL""","9.9","{breed airports}","false","2.0209116754573913","1","""up""","""FLL""","""Fort Lauderdale Hollywood Int'l""","2042042","0",,
"7","10.022609175279214","285","24.36908312257798","4.218023617459892","""circle""","""EWR""","9.9","{breed airports}","false","0.7484958249716561","1","""up""","""EWR""","""Newark Int'l""","280123","1266.6700013479108",,
"8","10","197","0.5672004868643425","-7.824233625210939","""circle""","""IAH""","9.9","{breed airports}","false","2.9863020610782156","1","""up""","""IAH""","""George Bush Intercontinental""","4459000","0",,
"9","10","301","8.924607438828657","5.6648749720942755","""circle""","""ORD""","9.9","{breed airports}","false","4.240283009422838","1","""up""","""ORD""","""Chicago O'Hare Int'l""","8990000","0",,
"10","10","327","-1.3528600210744628","-4.546374978030628","""circle""","""DFW""","9.9","{breed airports}","false","3.0977411124882597","1","""up""","""DFW""","""Dallas-Ft. Worth Int'l""","4798000","0",,
"11","10","322","-9.940737134562925","3.2718478425867334","""circle""","""DEN""","9.9","{breed airports}","false","1.084011070054176","1","""up""","""DEN""","""Denver Int'l""","587540","0",,
"285","9.9","100.54329029135556","-1.3543604394105033","-4.546095719169892","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 10}","false"
"318","9.9","100.54329029135556","-6.269945126370123","-3.6312038210048154","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 10}","false"
"319","9.9","92.7979740087377","-1.4145937167823779","-4.5433578847340454","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 10}","false"
"322","9.9","243.16345559908268","2.953929727062804","-6.6166985777122225","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 8}","false"
"324","9.9","280.54329029135556","-24.947666518480624","-0.1548938668382521","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 0}","false"
"341","9.9","107.04753861140597","9.180499754942801","-2.591453259642733","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 5}","false"
"343","9.9","272.79797400873764","-21.32901730218494","-3.570085942787032","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 3}","false"
"345","9.9","209.25881697739408","18.14991922784394","-11.344735896211557","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 6}","false"
"346","9.9","272.79797400873764","-20.330209438129415","-3.618900394549212","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 3}","false"
"348","9.9","153.99250178282443","17.25589401056258","-11.411121750195347","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 6}","false"
"349","9.9","92.7979740087377","-6.408633037059996","-4.299285625923138","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 10}","false"
"354","9.9","72.86896268833334","15.848544634250652","0.7556697109322486","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 1}","false"
"357","9.9","287.04753861140597","-4.369677434422234","1.563548287009935","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 11}","false"
"358","9.9","113.30573605877487","-13.242098531761634","4.694030511350744","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 11}","false"
"362","9.9","236.94552599092663","13.676438887544483","-3.168734436636485","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 5}","false"
"366","9.9","287.04753861140597","-2.457553745471661","0.977218176786989","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 11}","false"
"367","9.9","63.16345559908257","14.843969417207767","-0.6010854950961599","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 7}","false"
"368","9.9","209.25881697739408","20.10494122787681","-7.8550526757189765","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 6}","false"
"369","9.9","29.258816977394076","25.47483250722721","1.7301179735644676","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 4}","false"
"375","9.9","63.16345559908257","13.951671359061303","-1.0525322532283334","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 7}","false"
"376","9.9","287.04753861140597","-0.5454300565210881","0.39088806656404285","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 11}","false"
"377","9.9","104.45360761636243","14.124101265828305","-11.31857780821957","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 6}","false"
"381","9.9","287.04753861140597","0.4106317879541984","0.09772301145256979","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 11}","false"
"383","9.9","280.54329029135556","-14.133380207169468","-2.167656042801425","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 0}","false"
"384","9.9","113.30573605877487","-17.834132419008846","6.672217756879652","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 11}","false"
"385","9.9","243.16345559908268","12.769208366673926","-1.6507842382583378","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 8}","false"
"386","9.9","29.258816977394076","24.008566007202557","-0.8871444418049698","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 4}","false"
"387","9.9","283.9786963159434","8.951048722941128","5.658292861112121","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 9}","false"
"388","9.9","153.99250178282443","14.624961408962394","-6.018701732630202","""airplane""","""""","9.9","{breed planes}","false","1","1","""up""",,,,,"{airport 6}","false"
